id,nume,tip,pret,img
,Absolut Blue 0.5L,spirtoasa,66.90,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vodka_3/DB868-654x615.jpg
,Finlandia Classic 1L,spirtoasa,76.05,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vodka_2/JB985-654x615.jpg
,Stalinskaya Blue 1L,spirtoasa,80.97,https://assets.finestore.ro/image/654x615/produse/catalog/products/IW8897-654x615.jpg
,Stalinskaya Silver 1L,spirtoasa,74.20,https://assets.finestore.ro/image/654x615/produse/catalog/products/SP6047-654x615.jpg
,Legend Of Kremlin 0.7L,spirtoasa,128.17,https://assets.finestore.ro/image/654x615/produse/catalog/products/AC169-654x615.jpg
,Clase Azul Gold 0.7L,spirtoasa,2816.88,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/AZ1017_3-654x615.jpg
,Don Julio 1942 0.7L,spirtoasa,1990.00,https://assets.finestore.ro/image/654x615/produse/catalog/products/ZL8889-654x615.jpg
,Olmeca Altos Reposado 0.7L,spirtoasa,108.37,https://assets.finestore.ro/image/654x615/produse/catalog/products/AF4634-654x615.jpg
,1800 Tequila Anejo 0.7L,spirtoasa,189.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/AN289-654x615.jpg
,The Butterfly Cannon Rosa 0.5L,spirtoasa,119.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/BU178-654x615.jpg
,La Cofradia Ed Catrina Blanco 0.7L,spirtoasa,199.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/LA11666-654x615.jpg
,Don Julio Reposado 0.7L,spirtoasa,399.00,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/II385_3-654x615.jpg
,Satryna Cristalino 0.7L,spirtoasa,599.80,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/SA11681_3-654x615.jpg
,The Butterfly Cannon Cristalino 0.5L,spirtoasa,119.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/tequila_2/BU223-654x615.jpg
,Bottega Gold Prosecco 0.75L,vin,105.98,https://assets.finestore.ro/image/654x615/produse/catalog/products2/LZ1312-654x615.jpg
,Vespa Per DOM Valdobbiadene Prosecco Superiore DOCG Brut 0.75L,vin,69.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vin_spumant_7/CVSPB20-654x615.jpg
,Foss Marai Strada Di Guia 109 Prosecco Valdobbiadene DOCG Brut 1.5L,vin,158.40,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vin_spumant_6/FM2051-654x615.jpg
,Accademia Vinattieri Rainbow Red Prosecco 0.75L,vin,47.64,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vin_spumant_3/WP0147-654x615.jpg
,San Martino Prosecco Millesimato Brut 0.75L,vin,49.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vin_spumant_5/DJ946-654x615.jpg
,La Marca Prosecco Doc Treviso Extra Dry 0.75L,vin,51.41,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vin_spumant_3/LA030-654x615.jpg
,Gemma Di Luna Prosecco DOC Extra Dry 0.187L,vin,35.82,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/prosecco/PR250-654x615.jpg
,Casa Canevel Prosecco DOC Brut 0.75L,vin,58.98,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/vin_spumant_6/MS0130-654x615.jpg
,Dom Perignon Brut 0.75L,vin,1604.93,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/sampanie_3/EG384-654x615.jpg
,Moet & Chandon Rose 0.75L,vin,340.39,https://assets.finestore.ro/image/654x615/produse/catalog/products/JE618-654x615.jpg
,Gosset Grand Rose Brut 1.5L,vin,780.46,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/sampanie_2/CO0009-654x615.jpg
,Armand De Brignac Brut Gold Velvet Bag 0.75L,vin,2070.60,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/sampanie/RO7987_2-654x615.jpg
,Gosset Celebris Rose 2008 Brut 0.75L,vin,886.22,https://assets.finestore.ro/image/654x615/produse/catalog/poze_produse_FS/sampanie_3/CO5913-654x615.jpg
